,case_id,summary
262,19705,"This is a parental-rights termination case, not a criminal prosecution, but it describes underlying conduct including domestic violence and child neglect. The mother remained in a years-long relationship marked by domestic violence with the children's father, who was verbally aggressive and physically assaulted her, including incidents witnessed or occurring near the children, and she initially denied the abuse to investigators. When the children were removed, an infant was found severely soiled and underweight with a diagnosed failure to thrive, and a young son had unexplained facial bruising for which the mother gave inconsistent explanations. After leaving the father, the mother quickly entered a relationship with another man who had a criminal history including a conviction for assault family violence, and she struggled to maintain safe, stable housing throughout the case."
267,25324,"The defendant, then thirty-eight years old, moved into the trailer where a fourteen-or-fifteen-year-old victim lived with her family and began having sex with her daily for about two months, during which he sometimes gave her methamphetamine before and after the encounters. The victim became pregnant and gave birth to a child later confirmed by DNA testing to likely be the defendant's. He admitted to having sex with the victim roughly fifty times, though he was ultimately charged with four counts of sexual assault of a child, enhanced by four prior felony convictions for burglary of a habitation and assault family violence. Recorded jail phone calls to his wife discussed his potential sentence, the DNA results, and the victim's cooperation with authorities."
271,48062,"The defendant was found guilty by a jury of multiple offenses under Puerto Rico's Penal Code and related statutes, including provisions concerning attempt and domestic violence-related laws, and was sentenced to 149 years of imprisonment. The opinion does not provide specific factual details about how the underlying criminal conduct was carried out, focusing instead on the appellate procedural history. The defendant's appeal challenged the sufficiency of the evidence used to convict him, arguing it did not overcome the presumption of innocence or establish guilt beyond a reasonable doubt. The appeal was ultimately dismissed due to procedural noncompliance rather than being decided on the merits of the underlying criminal allegations."
272,44075,"The defendant pled guilty to enticing a child through the use of the internet or other communication device. While on probation, which included conditions restricting his contact with minors due to his sex offense, the defendant contacted multiple juvenile females via social media, accessed pornography on his smartphone, and failed to surrender the smartphone as required. He also failed to pay court-ordered fines, fees, and costs, which he admitted to as a probation violation. The Internet Crimes Against Children Task Force investigated the social media contact allegations but ultimately did not file additional charges."
276,12335,"On April 6, 2023, law enforcement received a report of a family dispute alleging the suspect was involved and was driving a red Toyota Camry, prompting a BOLO alert. Officers located a matching vehicle, and when one attempted a traffic stop by activating emergency lights, the driver initially appeared to pull over but then sped away, turning onto a residential street, passing another vehicle, running a stop sign, and reaching speeds of 60-65 mph in a 25 mph zone. Multiple officers identified the suspect as the driver based on prior familiarity with his appearance from photographs and previous surveillance, viewing him through the vehicle's windows during the encounter. The suspect was later charged with aggravated eluding, reckless driving, driving under a suspended license, and failure to stop at a stop sign, and at trial denied ownership of the Camry or presence at the scene."
277,46291,"During a parking lot dispute at a Subway restaurant, an argument arose between the defendant, who was seated in his car, and a woman and man (the victim) who were nearby with their children. After the victim approached and words were exchanged, the defendant got out of his car and shot the unarmed victim multiple times, including in the head and leg, causing serious injuries requiring surgery. Witnesses testified the defendant fired the gun before any physical contact occurred, while the defendant claimed the victim attacked him first and that the shooting happened as he struck the victim with the gun in self-defense. After the shooting, the defendant fled the scene with his wife, who retrieved the discarded firearm, before later returning to the location."
282,29524,"An officer stopped the suspect's vehicle for having an illegible license plate, a traffic violation. Upon stopping him, the officer observed signs of intoxication—reddish eyes, a strong smell of alcohol, and a sweaty appearance—which led the officer to issue warnings and request a breath test. The suspect voluntarily consented to a breath test using the Intoxilyzer 9000 at the police station approximately 24 minutes after the stop, which registered a blood alcohol level of 0.128%. No standardized field sobriety test was administered at the scene, though the officer had discretion under the law regarding whether to conduct one before proceeding with the intoxication charge under Puerto Rico's vehicle and traffic law."
284,51811,"The defendant, on probation for being a convicted felon in possession of a firearm and evading arrest, was accused of assaulting his girlfriend during an argument, punching a hole in the wall of their home, grabbing her purse containing her firearm, and stating that he could do what he wanted regardless of law enforcement. After she left the home, she heard a gunshot while driving away, though she did not witness him fire the weapon. Based on circumstantial evidence, the trial court found it more likely than not that the defendant fired the gun, concluding his possession and use of the firearm as a felon showed disregard for rules and posed a danger to others.“}}] wait format issue - ensure valid JSON only.  Let me output correctly.  I'll resend properly.  {"
285,38302,"The defendant was convicted following a jury trial of aggravated possession of drugs, unlawful possession of a dangerous ordnance, and having weapons while under disability, and was sentenced on January 31, 2022, including a mandatory prison term for the aggravated possession of drugs offense. This opinion does not describe the specific facts of how the drug possession or weapons offenses were committed, focusing instead on the defendant's post-conviction procedural challenges to his sentence, including his claim that a mandatory prison term could not be imposed for his drug offense."
290,48280,"In 2004, the defendant was convicted on twenty-three counts relating to three armed robberies, and his convictions were affirmed on direct appeal. The opinion does not provide further details about how the robberies were carried out or the specific conduct involved. The current appeal concerns only the untimely filing of a notice of appeal from the denial of a later motion to correct void sentence, not the underlying facts of the robberies."
298,2588,"The suspect was indicted on six counts of rape, six counts of sexual battery, and five counts of gross sexual imposition involving two minors. He subsequently entered no contest pleas to one count of attempted rape and one count of rape, with the remaining charges dismissed, and was sentenced to a total of 19 years in prison. The opinion does not provide further factual detail about how the underlying offenses were carried out.'"
300,21076,"The defendant, who was the stepfather of two minor victims, sexually assaulted and raped them repeatedly over a period of years, beginning when the victims were young teenagers (one victim's abuse lasted about four years, the other's about seven years). He used his position and relationship as their stepfather to facilitate the sexual assaults, isolating the victims and causing them significant physical and psychological harm, including PTSD, anxiety, and seizures. The defendant later confessed to forcing the minors to have sexual intercourse with him and pleaded guilty to eight counts of rape.  He had no prior criminal record before these offenses were discovered years after they occurred."
306,23908,"The defendant entered an open guilty plea to intoxication manslaughter, and the trial court accepted the plea and found him guilty of that offense. After hearing evidence on punishment, the trial court sentenced the defendant to eighteen years' confinement. The opinion does not provide further factual details about how the underlying offense was committed."
309,29387,"A witness watching from her home saw a juvenile riding a bicycle down a public street with his shorts pulled down to his knees, exposing skin, while making an up-and-down motion with his hand near his leg that appeared to be masturbation. The witness's fiance followed the juvenile, who pulled his shorts up and hid behind a bush; when confronted, the juvenile said he thought no one was outside and stated he had never been caught before. The juvenile later told police his shorts had been caught in his bike chain, but the magistrate court rejected this explanation as inconsistent with the evidence, including surveillance footage showing his genitals would have been visible from certain angles. He was found to have committed indecent exposure by willfully and lewdly exposing his genitals in public."
314,21020,"This is a civil appeal concerning a contract dispute stemming from an underlying allegation that one party defrauded another of $50,000 through false representations that funds would be used for cryptocurrency investments. The primary underlying incident involves allegations that the defendant induced two individuals to hand over money (checks of $200,000 and $40,000) for purported investments guaranteeing a 1% daily return, though the appellate court's decision focuses on subsequent civil litigation over a settlement agreement rather than adjudicating the fraud allegations themselves. No criminal charges, arrest, or criminal prosecution are described; the matter is entirely civil in nature, addressing summary judgment, contract interpretation, and attorney's fees for temerity."
316,46604,"The suspect was involved in two domestic violence incidents against his domestic partner. On May 29, 2024, during an argument, he placed his hands on her neck, pushed her against a wall, and struck her face with an open hand, causing her to seek hospital treatment for scratches and redness. On October 17, 2024, during another argument, he placed both hands around her neck, forced her against a kitchen counter, struck her back, and after she fell, hit her with a closed fist multiple times before dragging her to a laundry area and continuing the assault, resulting in facial injuries requiring fourteen stitches, neck and back injuries, a five-day hospitalization, and complications with her high-risk pregnancy; this incident occurred in front of her young daughter.amma He pleaded guilty to attempted strangulation and attempted disrupting public services for the first incident, and felonious assault and domestic violence for the second incident."
323,6416,"Defendant was convicted of shooting and killing two victims, P and G, on consecutive days in Portland. In the first incident, while defendant and companions were breaking into cars, victim P confronted the group and defendant got out of a car and shot him multiple times, later bragging to companions that he had killed someone and stuffing a gun into his fanny pack. The following day, after an argument escalated when victim G challenged defendant to a fight, defendant, seated in a stolen truck, told G he would shoot him and then shot G once in the chest before fleeing the scene by hitting a nearby van. Multiple eyewitnesses testified to seeing defendant fire the shots in both incidents, and the gun used was never recovered by police despite defendant's later comments about disposing of it through his mother and his ""street mom."""
325,759,"On the evening of December 31, 2019, an armed group approached a New Year's Eve party in Akron after the suspect recognized a relative's voice; the suspect arrived first and began shouting orders to two accomplices, including instructions to strip and shoot two victims. While one victim fled and escaped, the other victim was ordered to strip during a robbery-style search, and the suspect and his accomplices then opened fire on the victim as he sat in his vehicle, firing dozens of rounds and killing him. Witness testimony identified the suspect as the leader who directed the attack and personally fired a handgun at the victim's car. The suspect was later located through a tip, placed under surveillance, and arrested during a traffic stop near his residence.”}}</br>  ,"
326,25089,"The case arises from events on July 9, 2023 in La Parguera, in which one defendant was charged with destroying or damaging property valued over $500, taking the law into her own hands instead of seeking public authority, and conspiring against or using violence/intimidation against justice system officials, while a second defendant was charged with acting in concert with her to destroy the property and take the law into their own hands. The underlying dispute concerned damage to real property, with a contractor who prepared the damage estimate serving as a key prosecution witness. The appellate opinion focuses primarily on procedural issues regarding whether that witness could be declared unavailable for trial, rather than detailing further specifics of the defendants' conduct during the incident itself."
327,5569,"Police surveilling a suspected drug trafficker observed the suspect meet with an occupant of a car later linked to the defendant, and after the defendant's car failed to stop fully in a parking lot, officers conducted a traffic stop. A drug-detection dog circled the car and, although it did not give a formal trained ""final response"" pinpointing drugs, exhibited nontrained behavioral changes (rapid breathing and a head turn) that its handler, based on training and experience, interpreted as indicating the presence of drug odor. Officers then searched the car and found methamphetamine, cocaine, fentanyl, and alprazolam hidden in a sunglasses compartment high in the vehicle, leading to charges against the driver for possession with intent to distribute and obstruction of a law enforcement officer."
328,4999,"The suspect, a non-citizen, was arrested for criminal trespass on private property in Zapata County and charged with the misdemeanor offense of criminal trespass. He was released on a personal bond requiring him to appear before the county court as scheduled, but after being removed from the United States, he was unable to lawfully re-enter to appear in person for pretrial hearings. He sought to modify his bond conditions to allow virtual appearances at pretrial proceedings, while still agreeing to appear in person for trial, but the trial court denied this request and ordered him to appear in person for a subsequent hearing.

The case does not involve allegations of violent or deceptive criminal conduct beyond the trespass itself, which is not further described in detail."
331,35143,"On the night of June 27, 2025, an officer conducting anti-crime patrol observed the suspect backing up his Jeep without wearing a seatbelt at a gas station; when told to stop, the suspect fled at high speed instead of complying. A second officer, informed of the traffic violation, pursued the suspect's vehicle for about 20 minutes until it crashed into a fence and tree in a wooded area, after which the suspect abandoned the car and fled on foot before being caught and arrested for obstruction of justice. While checking the crashed vehicle for injured occupants, the officer inadvertently observed an open black wallet containing bags of white powder resembling cocaine in plain view on the front passenger area, leading to additional drug charges under the Controlled Substances Act."
334,53583,"The defendant killed a bull elk and a cow elk while hunting with his father inside a state wildlife refuge that was closed to public access during the applicable winter closure period. He crossed over a cable gate to enter the closed refuge despite seeing posted closure signs, and he did not have a valid hunting license, tag, or permit for elk, nor any applicable tribal treaty hunting right, at the time. The defendant's father testified that he believed his tribal treaty rights permitted the hunt and that the defendant, as a family member of a Columbia River Treaty tribe, could exercise those rights on his behalf, and that neither of them realized their conduct was unlawful. The trial court found the defendant guilty of unlawfully taking a bull elk, unlawfully taking a cow elk, and unlawfully entering closed ODFW wildlife lands, all charged as misdemeanors."
335,23479,"Officers responded to a civil disturbance call at an apartment complex where the victim appeared distraught, hyperventilating, and had a raspy voice. The victim reported that after she ended a relationship with the suspect and returned items to him, he grabbed her by the neck during an argument, causing her to lose consciousness; a paramedic later observed redness and scratches on her neck. Eyewitnesses saw the suspect force the victim back into her apartment and later saw him with his hand over her in a physical struggle before he fled to a neighboring unit and threw eggs at witnesses. The suspect was convicted of assault family violence with a prior conviction."
336,7268,"The defendant was convicted of possessing one gram or more but less than four grams of methamphetamine, a third-degree felony. He was initially sentenced to eight years' confinement, but the trial court suspended the sentence and placed him on four years of community supervision. The State later filed a motion to revoke his community supervision, the defendant pleaded true to the State's allegations, and the trial court revoked his community supervision and imposed the original eight-year sentence.ed"
339,12592,"The defendant, a physician, was charged with six counts of unlawfully distributing oxycodone after prescribing the drug to the same patient on six occasions. According to the government, the defendant knew the patient was addicted to opioids because the patient told him so, yet continued to issue prescriptions, with each of the six prescriptions given immediately after the patient tested positive for heroin or cocaine. Five days after receiving his last oxycodone prescription from the defendant, the patient died of an opioid-involved drug overdose caused by acute combined drug toxicity from oxycodone and alprazolam. The defendant pled guilty to all six distribution charges."
340,8685,"The suspect was charged with breaking into the victim's office and stealing a pistol and a nail gun. He pleaded guilty to attempted breaking and entering and petty theft, and at sentencing defense counsel argued that restitution should be handled as a civil matter rather than through the criminal case. The trial court sentenced him to time served without addressing restitution, prompting a lengthy series of appeals by the victim seeking restitution for the theft.》"
343,45219,"A driver struck and killed a pedestrian with her vehicle in front of the victim's home early in the morning, then left the scene of the accident. The driver was subsequently identified, arrested, and charged with leaving the scene of an accident resulting in injury or death, a Class C felony, and was later convicted and sentenced for that offense. Investigating officers found no evidence that any crime other than leaving the scene of the accident had occurred, treating the death itself as the result of an accident rather than a separate criminal act.'"
346,34059,"The defendant pleaded guilty to multiple counts including domestic violence, aggravated menacing, menacing by stalking, and telecommunications harassment against a victim, with offenses occurring on separate dates between March and April 2024. The domestic violence and aggravated menacing counts occurred on distinct dates, while the menacing by stalking charges involved two separate courses of conduct: one in which the defendant sent death-threat letters and electronic posts causing the victim to fear physical harm to herself and her family, and a second in which the defendant made threatening telephone calls to the victim. The defendant was sentenced to four years in prison after pleading guilty to the amended indictment.'"
350,8398,"The defendant, a high-school teacher, was charged with sexual offenses based on an alleged sexual relationship with a 17-year-old student, J. At trial, J testified that she and the defendant had sex on multiple occasions, including at his home, in hotel rooms, in his truck, and in his office at the school, while the defense theory was that J fabricated the allegations to extort money from him. The defendant did not testify, and evidence seized under a search warrant for his office, house, truck, and person had largely been suppressed before trial as overbroad and stale. The jury ultimately found the defendant guilty on all counts, though the appellate court later found the trial was unfair due to prosecutorial misconduct unrelated to the underlying facts of the alleged abuse."
355,9559,"The defendant, previously convicted of conspiracy to manufacture methamphetamine, violated the alcohol-abstinence condition of his supervised release by drinking an entire bottle of liquor after becoming frustrated with his girlfriend, resulting in a physical and verbal altercation with her to which police responded. After his arrest, he slipped his handcuffs to the front of his body, tried to damage the police car's camera and window, and later flooded and damaged his jail cell, hit and kicked the cell door, urinated on the floor, and shoved feces under the door. He had a documented history of alcohol-related offenses, including prior DUI convictions and a burglary committed while intoxicated, as well as diagnosed alcohol use disorder. These violations led to revocation of his supervised release and a new term of imprisonment followed by supervised release with a continued complete alcohol ban."
358,29369,"The defendant was accused in three Floyd County indictments of committing several burglary and theft offenses occurring in March, May, and August 2021. While investigating these offenses, police identified the defendant as a suspect and located him in jail on unrelated charges in another county. In January 2022, after being advised of his rights, the defendant admitted to police his involvement in the Floyd County offenses, and arrest warrants for those offenses were obtained in July 2022 but were not executed until January 2025, after he completed his sentence on the unrelated charges. The defendant later entered a non-negotiated guilty plea to the burglary and theft charges."
365,33035,"The defendant was indicted on one count of Receiving Stolen Property and pleaded guilty to the reduced charge of Attempted Receiving Stolen Property. The opinion does not provide details regarding the specific property involved, how the offense was carried out, or the circumstances of the defendant's identification or apprehension. The appeal concerned only the sentence imposed, which included a term of incarceration, and did not address the facts underlying the conviction."
367,37229,"The suspect and the victim were in a romantic relationship and lived together intermittently in a boarding house room. Over the course of several weeks, the suspect assaulted the victim on multiple occasions, including grabbing her by the throat and slamming her head into a garage door and concrete floor, striking the back of her head with a wooden board while threatening to kill her, hitting her in the face with a screwdriver, and punching her in the face. After the final assault the victim fled to a friend's home, where her condition deteriorated over several days until she was hospitalized in a medically induced coma for emergency surgery to treat a brain bleed and swelling. Hospital staff reported the suspected domestic violence to police, leading to an investigation involving witness interviews and doorbell camera footage."
369,12866,"Animal control officers with the Nebraska Humane Society responded to calls about an emaciated, lethargic dog and found it had multiple open wounds and was too weak to stand; the dog was ultimately euthanized and a necropsy performed. The suspect, the dog's registered owner, was charged with felony animal neglect/abandonment with serious injury for allowing the animal to suffer these conditions. The suspect pled no contest to the charge in exchange for a recommended sentence of probation, and the court accepted the plea and imposed a probationary sentence.'"
371,32780,"Officers responding to a reported domestic disturbance were told by the suspect's wife that he had an outstanding arrest warrant and kept a firearm inside a black Nike bag near his bed; officers arrested him on the warrant but did not immediately find the bag or gun. Based on the wife's statements identifying the suspect's location in the home, his vehicle, and the location of the bag, officers obtained a search warrant for the residence and vehicle. A subsequent search of the home uncovered the black Nike bag hidden in rolled-up carpet on the back porch, containing drug paraphernalia and a pistol, leading to charges against the suspect for being a felon in possession of a firearm."
377,41242,"The defendant was driving on a state highway when he crossed the center line and collided head-on with another vehicle, seriously injuring both the driver and passenger of that vehicle. A search of the defendant's vehicle revealed alcohol, and blood alcohol testing showed a blood alcohol content of 0.144 grams per 100 milliliters. The defendant was found guilty of two counts of aggravated vehicular assault, and the trial court noted his conduct in driving while impaired caused life-altering injuries to the victims, including PTSD and the need for multiple surgeries."
380,12994,"The defendant pleaded guilty to two drug trafficking charges and was sentenced to 354 months, later reduced to 296 months following a retroactive Guidelines amendment. This opinion addresses his subsequent petition for compassionate release based on his incapacitated father's need for care, rather than describing the underlying drug trafficking offense conduct itself. No further factual details about how the drug trafficking crime was committed are provided in the opinion.​​​​​​​​​​​​​​​​"
381,8948,"The defendant was arrested and jailed in connection with a fatal shooting in which the victim was found pinned between a crashed vehicle and a house, having suffered gunshot wounds and blunt force trauma consistent with being run down by a car registered to the defendant. During a recorded police interrogation, the defendant initially claimed the vehicle had been carjacked, but after officers confronted him with alleged inconsistencies and evidence, he invoked his right to counsel; after a lengthy delay in which police failed to secure an attorney and made confusing statements about his ability to obtain one, the defendant resumed talking with officers and ultimately admitted to shooting the victim and hitting him with his car, claiming self-defense. The opinion's legal analysis centers on whether these post-invocation statements were properly obtained under Miranda and Edwards v. Arizona, rather than on additional facts about the killing itself."
387,57260,"This is an immigration bond appeal, not a criminal prosecution, but it references alleged underlying misconduct by the respondent. USCIS interviews indicated the respondent may have been involved with an Afghan security forces group during the U.S. war in Afghanistan that was linked to human rights abuses, including interrogations resulting in torture and death; the respondent admitted to bringing individuals to a room to be interrogated but gave nonanswers when asked about his possible involvement in abuses. The respondent also provided inconsistent and potentially fraudulent information to immigration officials, including conflicting statements about whether his children were born in Afghanistan or Pakistan. These circumstances were cited as evidence of flight risk and unresolved eligibility for immigration relief, rather than as a separate adjudicated criminal offense."
396,20249,"This is a juvenile court termination-of-parental-rights case rather than a criminal prosecution, but it describes underlying conduct by the mother that led to state intervention. The case began when her infant daughter's umbilical cord tested positive for cocaine and marijuana at birth, indicating drug use during pregnancy, prompting removal of both children from her custody. The mother subsequently tested positive for cocaine and methamphetamine on multiple occasions, left the state without informing the department of her whereabouts, and had a third child who also tested positive for marijuana at birth. Shortly before the termination trial, police responded to a domestic violence incident at her home in which the father of her youngest child assaulted her while she held the infant, and she admitted striking him back while still holding the baby.</summary>a}<br/>{"
398,3062,"A 14-year-old victim died after being shot 15 times on November 5, 2023, while walking with the suspect on Holyrood Road in Cleveland. Surveillance video showed the shooter, dressed in dark clothing, pause as if to tie his shoe, then shoot the victim in the back as he walked ahead, continuing to fire additional shots after the victim fell. An anonymous tipster identified the suspect by his first name and provided a phone number and Instagram account that investigators traced to him, and cell phone location data placed him at the scene at the time of the shooting and near his uncle's and mother's homes shortly after. After the murder, the suspect posted social media content showing himself with a firearm similar to the murder weapon, stated "
402,473,"The defendant's teenage son died from a single gunshot wound to the chest at their home in the early morning of March 27, 2021. When a responding officer arrived, the son was found unresponsive in the carport, and the defendant, who arrived at the home afterward, told the officer and a detective that she had seen her son collapse in the washroom and had left to search for help. During a subsequent police interview, a detective became suspicious of the defendant's account after about fifteen minutes of questioning and then advised her of her Miranda rights, after which she continued answering questions until requesting an attorney. Investigators also looked into reports of disturbances between the defendant and her boyfriend, ultimately confirming through a hotel receipt and security video that the boyfriend was away at a hotel during the time of the shooting.'"
403,26725,"The defendant was indicted on charges including rape, statutory rape, and child molestation, following an earlier 2009 indictment for child molestation and statutory rape that was later nolle prossed. He was convicted on all counts at trial, and his convictions were affirmed on direct appeal. The opinion does not provide further factual details about how the underlying offenses were committed.'"
404,49952,"The defendant was indicted on multiple drug trafficking and possession charges arising from separate incidents on April 23, May 1, and May 28, 2024, as well as a charge of having weapons while under disability stemming from a prior 2020 drug conviction. On May 28, 2024, the defendant was found in possession of drugs and also in constructive possession of a firearm despite being legally disqualified from possessing one due to his prior felony drug conviction. He later pled guilty to amended and original counts including attempted aggravated trafficking in drugs, aggravated trafficking in drugs, and having weapons while under disability, with forfeiture specifications for money and a weapon.aged"
413,5365,"The case involved an armed robbery and an aggravated assault committed with a firearm. An accomplice, who had entered a plea deal, gave a taped confession to police implicating the defendant in the robbery. At trial, however, the accomplice testified that he could not recall whether the defendant participated and claimed he had lied to police during his earlier confession. The defendant was ultimately convicted of three counts of armed robbery and one count of aggravated assault with a firearm."
421,40931,"The suspect pleaded guilty to online solicitation of a minor and was placed on deferred adjudication community supervision. The State later moved to revoke supervision, alleging multiple violations of the supervision conditions, including failure to register as a sex offender, which was also charged as a separate offense. The suspect pleaded true to the violations and guilty to the new failure-to-register charge, resulting in adjudication of guilt on the original solicitation charge and conviction on the registration offense.》"
422,12703,"The defendant pleaded guilty to transporting and possessing child pornography after participating in online chatrooms that required members to submit child pornography images in order to access and receive additional such images, with users who failed to contribute risking removal as mere ""lurkers."" The defendant admitted to viewing child pornography obtained through this chatroom system, which the sentencing court found established an implicit agreement to distribute child pornography in exchange for receiving more such material. The district court also applied a pattern-of-activity enhancement based on the defendant's conduct, though the underlying offenses of conviction and only one qualifying prior state offense did not support that enhancement.'"
425,52599,"A pickup truck and equipment were stolen from a property owner's shop, which had been broken into and ransacked; tire tracks and footprints indicated at least two people were involved in the theft. Hours later, the defendant and a companion were found with the stolen truck after it broke down on a remote road, and they twice declined a passerby's offers of help before abandoning the vehicle and walking toward town. When a deputy later stopped the pair at gunpoint, the defendant fled into a snowy field and hid until he developed hypothermia, while his companion complied and was found with tools, a walkie-talkie, and other items. The truck was later found to have a damaged clutch/starter and additional stolen equipment loaded on it, but there was no direct evidence establishing how or when the defendant came into possession of the vehicle or that he knew it was stolen."
431,1504,"The appellant was convicted of engaging in organized criminal activity and aggravated assault with a deadly weapon, specifically involving a golf club used as a weapon. This opinion does not otherwise describe the facts or circumstances of the underlying assault, focusing instead on procedural issues related to post-conviction DNA testing motions and appellate deadlines."
436,30364,"The appellant was convicted of failure to comply with a sex offender's duty to register (life/annual reporting requirement), with the offense charged as a habitual offense. He pleaded not guilty, and a jury found him guilty, after which the parties entered a plea agreement as to punishment involving thirty-five years, Chapter 62 registration compliance, and a no-contact order. The opinion does not describe the specific underlying facts of how the registration violation was committed.4"
440,44774,"The defendant was indicted for trespass in a habitation when a person was present or likely to be present and for criminal damaging or endangering. No specific facts of how the offenses were committed were recited in the record; the defendant pleaded guilty to both counts and stipulated that sufficient facts existed to support a finding of guilt. She was initially placed on intervention in lieu of conviction, but after twice testing positive for THC in violation of that program, the trial court terminated the intervention, found her guilty of the indicted offenses, and sentenced her to community control."
445,4763,"The suspect, who held a hunting tag for an area in Arizona near the Utah border, was seen with his guide field dressing a mule deer shortly after a gunshot was heard, at a spot where investigators later determined the deer had actually been shot and killed in Utah, not Arizona as the suspect claimed. Physical evidence, including boot tracks, deer tracks, a suspected shooting location with ground disturbance, and the carcass's location, all indicated the deer was shot and died in Utah, with no tracks showing the deer or hunters crossing from Arizona. The suspect and his guide carried portions of the deer back to Arizona to meet an acquaintance, and when questioned by officers, neither disclosed that the deer had allegedly wandered from Arizona into Utah before dying. A jury convicted the suspect of wanton destruction of protected wildlife based on this evidence."
446,49807,"During execution of a search warrant at a residence, officers surrounded a trailer parked behind the house and found the suspect inside, along with a woman who was taken to the hospital. A search of the trailer uncovered a .22-caliber rifle in plain view in the kitchen and a .38-caliber handgun with loose ammunition hidden in a clothes hamper in the bedroom, along with mail addressed to the suspect at that address. The suspect, a previously convicted felon, denied any knowledge of the firearms, claimed the trailer and its contents belonged to his nephew, and stated that multiple people had access to the trailer, though officers believed the guns belonged to him based on his presence and the mail found inside.'"
448,14397,"The suspect, angry that a minor victim had reported him for sexual battery and prostitution, fled the state, prepared for the crime by tinting a borrowed vehicle's windows and buying untraceable phones and dark clothing, and told an associate he would ""do what he had to do"" because ""no witness, no case."" He then returned home, used a fake pizza-delivery ruse with an accomplice to force entry into the intended victim's residence, shot the stepfather who answered the door, and fled while his accomplice, mistaking another occupant for the intended target due to her hair color, shot and killed her and wounded two others in a back bedroom. Survivors identified the suspect by sight and distinctive voice, and physical evidence including a firearm and shell casings linked him to the shooting; he was apprehended the next day in a disguise while driving the same vehicle used in the crime.
"
452,13641,"In July 2023, the suspect allegedly fired a gun inside his residence during an altercation with his girlfriend. Following a search of the residence, law enforcement recovered a Ruger pistol and a Marlin .22 rifle, and the suspect was arrested shortly thereafter. During a subsequent police interview, he admitted to possessing the firearms while knowing he was a felon and knowing he was prohibited from possessing firearms. He had a prior 2013 West Virginia state court misdemeanor conviction for domestic battery, and a prior felony conviction for fleeing in a vehicle causing bodily injury."
464,21301,"A caller reported that her fiancé had gone into the garage with her gun after learning he was supposed to appear in court, and deputies arriving found the suspect intoxicated, armed with a pistol, and attempting to shoot himself, though the gun misfired. As deputies blocked off the roadway and took cover positions with weapons drawn, the suspect yelled threats and obscenities at law enforcement, put the gun down and briefly exited the garage, then ran back to retrieve it after being struck by a non-lethal beanbag round, prompting an officer to fire a rifle and strike him in the arm before he was apprehended. The suspect was under a legal disability prohibiting firearm possession at the time. A firearm discharge was also documented at the scene, with a spent cartridge later matched to the suspect's pistol through forensic testing."
466,39210,"The defendant was indicted for mere possession of a firearm, not for firing or brandishing it, and his criminal history involves nonviolent acts. The opinion does not describe the underlying circumstances of the firearm possession offense in further detail, instead focusing on the defendant's medical treatment and detention conditions while awaiting trial. No specific facts about how the alleged possession occurred, how the defendant was identified, or the circumstances of his arrest are provided in the opinion."
467,43568,"The defendant engaged in a prolonged pattern of unwanted contact and harassment toward a couple, culminating in a June 2022 altercation in which he and two other men assaulted one victim and the defendant drove his truck into the other victim, causing injuries; he later pled guilty to simple assault and was subject to a no-contact order. In February 2023, despite the order, the defendant repeatedly drove by and loitered near the victims' home, and on one night fired gunshots near their property. When deputies located him sitting in his truck, he raised a revolver and pointed it at an officer's chest and face after the officer identified himself, stating he would point his gun at whoever he wanted, and only slowly lowered the weapon after repeated commands; he then physically resisted being removed from the truck and placed in the patrol car."
470,39746,"The suspect got into an argument with his adult daughter at his brother's mobile home community, then deliberately drove his pickup truck into her, knocking her out of her shoes, before fleeing to his brother's residence and retrieving a rifle and shotgun. When police responded, the suspect led them on a high-speed chase reaching 95 mph, drove into oncoming traffic, and repeatedly pointed and fired a shotgun out of his window at pursuing officers as he passed them on the highway. He ultimately veered his truck across traffic lanes and crashed into parked police cruisers, severely injuring an officer inside one vehicle, and pointed a rifle at officers before being shot at and apprehended; methamphetamine was also found in his truck.</summary>"
474,43752,"The father engaged in a pattern of domestic violence against the mother, including an incident where he dragged her into a bathroom while she was in labor, and he was later convicted of second-degree rape and two counts of second-degree assault (domestic violence) against her. He also had a substantial history of substance abuse, repeatedly testing positive for cannabis and other drugs, and failed to complete recommended chemical dependency, parenting, and domestic violence treatment. His children were removed from the home due to concerns including drug use, domestic violence, and inadequate parenting, and one child was born already exposed to drugs. Following his 2022 arrest and subsequent 158-month sentence for the assault and rape convictions, he remained incarcerated with an expected release date in 2032, limiting his ability to parent or rehabilitate his parental deficiencies."
478,51059,"The underlying criminal incident involves a murder-for-hire scheme in which the primary suspect, who had defrauded a business associate in a fraudulent oil-trading scheme and repeatedly paid him hush money to stay silent, arranged and paid for that associate's murder when the payments no longer ensured silence. The suspect hired an intermediary who in turn hired others, ultimately resulting in a hitman disguising himself as a U.S. Marshal to abduct and kill the victim just before a major business transaction closed. The suspect had a history of fraud, including posing as a doctor to swindle a family and falsifying credentials and scientific claims to secure a lucrative corporate merger. He was later arrested and convicted of murder-for-hire, conspiracy to commit murder-for-hire, and conspiracy to commit wire fraud."
